(xmlSchemaSetParserStructuredErrors,_wrap_xmlSchemaSetParserStructuredErrors)
(xmlSAX2Characters,_wrap_xmlSAX2Characters)
(xmlOutputBufferGetContent,_wrap_xmlOutputBufferGetContent)
(xmlUCSIsCherokee,_wrap_xmlUCSIsCherokee)
(xmlSAX2Reference,_wrap_xmlSAX2Reference)
(xmlSetNsProp,_wrap_xmlSetNsProp)
(xmlHashScan3,_wrap_xmlHashScan3)
(xmlXPathErr,_wrap_xmlXPathErr)
(xmlUCSIsCatPi,_wrap_xmlUCSIsCatPi)
(xmlNewDocRawNode,_wrap_xmlNewDocRawNode)
(xmlScanName,_wrap_xmlScanName)
(htmlCtxtReadFile,_wrap_htmlCtxtReadFile)
(xmlXPathNodeSetAdd,_wrap_xmlXPathNodeSetAdd)
(xmlNodeAddContentLen,_wrap_xmlNodeAddContentLen)
(xmlXPathParseName,_wrap_xmlXPathParseName)
(xmlUCSIsIdeographicDescriptionCharacters,_wrap_xmlUCSIsIdeographicDescriptionCharacters)
(xmlCharEncInFunc,_wrap_xmlCharEncInFunc)
(xmlSAX2HasExternalSubset,_wrap_xmlSAX2HasExternalSubset)
(xmlBufferCreate,_wrap_xmlBufferCreate)
(xmlLoadExternalEntity,_wrap_xmlLoadExternalEntity)
(xmlUCSIsBlock,_wrap_xmlUCSIsBlock)
(htmlGetMetaEncoding,_wrap_htmlGetMetaEncoding)
(xmlRegexpCompile,_wrap_xmlRegexpCompile)
(xmlCatalogSetDefaults,_wrap_xmlCatalogSetDefaults)
(xmlUCSIsBopomofo,_wrap_xmlUCSIsBopomofo)
(xmlInitGlobals,_wrap_xmlInitGlobals)
(xmlXPathPopNumber,_wrap_xmlXPathPopNumber)
(xmlRecoverMemory,_wrap_xmlRecoverMemory)
(_xmlXPathType,_wrap_new__xmlXPathType)
(xmlXPathNodeSetSort,_wrap_xmlXPathNodeSetSort)
(_htmlElemDesc,_wrap_new__htmlElemDesc)
(getPublicId,_wrap_getPublicId)
(xmlSaveFileTo,_wrap_xmlSaveFileTo)
(xmlXPathConcatFunction,_wrap_xmlXPathConcatFunction)
(xmlDumpEntitiesTable,_wrap_xmlDumpEntitiesTable)
(_xmlParserCtxt,_wrap_new__xmlParserCtxt)
(_xmlSchemaAttributeGroup,_wrap_new__xmlSchemaAttributeGroup)
(xmlHashUpdateEntry2,_wrap_xmlHashUpdateEntry2)
(htmlEncodeEntities,_wrap_htmlEncodeEntities)
(_xmlDtd,_wrap_new__xmlDtd)
(xmlAddNextSibling,_wrap_xmlAddNextSibling)
(htmlDefaultSAXHandlerInit,_wrap_htmlDefaultSAXHandlerInit)
(xmlXPathNodeSetCreate,_wrap_xmlXPathNodeSetCreate)
(xmlCopyProp,_wrap_xmlCopyProp)
(__xmlKeepBlanksDefaultValue,_wrap___xmlKeepBlanksDefaultValue)
(xmlXPathRegisterFuncLookup,_wrap_xmlXPathRegisterFuncLookup)
(xmlUCSIsOldItalic,_wrap_xmlUCSIsOldItalic)
(xmlCopyDocElementContent,_wrap_xmlCopyDocElementContent)
(xmlNamespaceParseNCName,_wrap_xmlNamespaceParseNCName)
(xmlSAX2ProcessingInstruction,_wrap_xmlSAX2ProcessingInstruction)
(xmlUCSIsKannada,_wrap_xmlUCSIsKannada)
(xmlSaveToFilename,_wrap_xmlSaveToFilename)
