(getInt64,GetInt64)
(oid,Oid)
(setVersion,SetVersion)
(MergeFileOptions,JSNewFunction)
(OdbObject,JSNewFunction)
(dup,Dup)
(peel,Peel)
(createGlob,GlobNew)
(data,Data)
(toBuf,DiffStatsToBuf)
(CertHostkey,JSNewFunction)
(ReflogEntry,JSNewFunction)
(Buf,JSNewFunction)
(Note,JSNewFunction)
(newFile,NewFile)
(getByIndex,GetByIndex)
(commitCreate,CommitCreate)
(asize,Asize)
(addRule,AddRule)
(Oid,JSNewFunction)
(analysis,Analysis)
(isWorktree,IsWorktree)
(shorthand,Shorthand)
(simplifyFirstParent,SimplifyFirstParent)
(create,Create)
(CherrypickOptions,JSNewFunction)
(origin,Origin)
(now,Now)
(getInt32,GetInt32)
(origHeadId,OrigHeadId)
(DiffLine,JSNewFunction)
(reset,Reset)
(fromBlobs,FromBlobs)
(pruneRefs,PruneRefs)
(dst,Dst)
(IndexTime,JSNewFunction)
(iszero,Iszero)
(setUpstream,SetUpstream)
(ids,Ids)
(PushOptions,JSNewFunction)
(validate,Validate)
(setThreadSafetyStatus,LockMasterSetStatus)
(setString,SetStr)
(loid,Loid)
(hideGlob,HideGlob)
(repoInit,RepoInit)
(Cert,JSNewFunction)
(bases,Bases)
(referenceList,ReferenceList)
(location,Location)
(lines,Lines)
(NoteIterator,JSNewFunction)
(RemoteCallbacks,JSNewFunction)
(toTree,ToTree)
(RebaseOptions,JSNewFunction)
(Patch,JSNewFunction)
(getRemotes,GetRemotes)
(isEmpty,IsEmpty)
(Config,JSNewFunction)
(removeDirectory,RemoveDirectory)
(conflictRemove,ConflictRemove)
(revert,Revert)
(commitRemove,CommitRemove)
(tree,Tree)
(init,Init)
(find,Find)
(numHunks,NumHunks)
(conflictAdd,ConflictAdd)
(submoduleCacheClear,SubmoduleCacheClear)
(entryByPath,EntryBypath)
(headerField,HeaderField)
(getHunkByLine,GetHunkByline)
(setSymbolicTarget,SetSymbolicTarget)
(drop,Drop)
(isBranch,IsBranch)
(parentId,ParentId)
(IndexIterator,JSNewFunction)
(BlobFilterOptions,JSNewFunction)
(numLines,NumLines)
(srcRefname,SrcRefname)
(isCheckedOut,IsCheckedOut)
(hashSha256,HashSha256)
(getThreadSafetyDiagnostics,LockMasterGetDiagnostics)
(refdb,Refdb)
(hideHead,HideHead)
(rawHeader,RawHeader)
(normalizeName,NormalizeName)
(strMatch,StrMatch)
(repository,Repository)
(ident,Ident)
(clearInternalRules,ClearInternalRules)
(when,When)
(findPrefix,FindPrefix)
(mkdirCalls,MkdirCalls)
(headerLen,HeaderLen)
(dstRefname,DstRefname)
(Cred,JSNewFunction)
(fromDiff,FromDiff)
(OidShorten,JSNewFunction)
(finish,Finish)
(newLines,NewLines)
(sshKeyMemoryNew,SshKeyMemoryNew)
(getHunkByIndex,GetHunkByindex)
(filemode,Filemode)
(isShallow,IsShallow)
(url,Url)
(containsData,ContainsData)
(MergeFileInput,JSNewFunction)
(save,Save)
(pushRef,PushRef)
(filemodeRaw,FilemodeRaw)
(DiffStats,JSNewFunction)
(Reference,JSNewFunction)
(single,Single)
(applyToData,ApplyToData)
(isBare,IsBare)
(RepositoryInitOptions,JSNewFunction)
(createFromBuffer,CreateFromBuffer)
(ncmp,Ncmp)
(isGitfile,IsGitfile)
(resolveSignature,ResolveSignature)
(cherrypick,Cherrypick)
(size,Size)
(rawcontent,Rawcontent)
(fromFetchhead,FromFetchhead)
(operationByIndex,OperationByindex)
(copy,Copy)
(DescribeResult,JSNewFunction)
(finalSignature,FinalSignature)
(entryCmp,EntryCmp)
(foreach,Foreach)
(IndexerProgress,JSNewFunction)
(cpy,Cpy)
(_entryByIndex,EntryByindex)
(src,Src)
(Strarray,JSNewFunction)
(exec,Exec)
(localObjects,LocalObjects)
(setHeadDetached,SetHeadDetached)
(snapshot,Snapshot)
(setWorkdir,SetWorkdir)
(addPush,AddPush)
(last,Last)
(refspecCount,RefspecCount)
(disconnect,Disconnect)
