(hash,Hash)
(insertCommit,InsertCommit)
(insertRecur,InsertRecur)
(insertTree,InsertTree)
(insertWalk,InsertWalk)
(objectCount,ObjectCount)
(setThreads,SetThreads)
(written,Written)
(createUpdated,CreateUpdated)
(entryById,EntryByid)
(_entryByIndex,EntryByindex)
(_entryByName,EntryByname)
(entryByPath,EntryBypath)
(entryCmp,EntryCmp)
(entryCount,Entrycount)
(addAll,AddAll)
(addByPath,AddBypath)
(caps,Caps)
(checksum,Checksum)
(conflictAdd,ConflictAdd)
(conflictCleanup,ConflictCleanup)
(conflictGet,ConflictGet)
(conflictRemove,ConflictRemove)
(entryIsConflict,EntryIsConflict)
(entryStage,EntryStage)
(find,Find)
(findPrefix,FindPrefix)
(getByIndex,GetByindex)
(getByPath,GetBypath)
(hasConflicts,HasConflicts)
(readTree,ReadTree)
(removeAll,RemoveAll)
(removeByPath,RemoveBypath)
(removeDirectory,RemoveDirectory)
(setCaps,SetCaps)
(setVersion,SetVersion)
(updateAll,UpdateAll)
(writeTree,WriteTree)
(writeTreeTo,WriteTreeTo)
(findGlobal,FindGlobal)
(findProgramdata,FindProgramdata)
(findSystem,FindSystem)
(findXdg,FindXdg)
(getEntry,GetEntry)
(getPath,GetPath)
(getStringBuf,GetStringBuf)
(openDefault,OpenDefault)
(openOndisk,OpenOndisk)
(setBool,SetBool)
(setInt32,SetInt32)
(setInt64,SetInt64)
(setMultivar,SetMultivar)
(setString,SetString)
(buffer,Buffer)
(getHunkByIndex,GetHunkByindex)
(getHunkByLine,GetHunkByline)
(getHunkCount,GetHunkCount)
(copy,Copy)
(strings,Strings)
(default,Default)
(now,Now)
(email,Email)
(when,When)
(repo,Repo)
(smartCertificateCheck,SmartCertificateCheck)
(smartCredentials,SmartCredentials)
(smartProxyOptions,SmartProxyOptions)
(exec,Exec)
(idNew,IdNew)
(idOld,IdOld)
(cvarType,CvarType)
(strMatch,StrMatch)
(mapValue,MapValue)
(addFinalize,AddFinalize)
(addSetup,AddSetup)
(addToIndex,AddToIndex)
(branch,Branch)
(fetchRecurseSubmodules,FetchRecurseSubmodules)
(headId,HeadId)
(ignore,Ignore)
(indexId,IndexId)
(location,Location)
(reload,Reload)
(repoInit,RepoInit)
(resolveUrl,ResolveUrl)
(setBranch,SetBranch)
(setFetchRecurseSubmodules,SetFetchRecurseSubmodules)
(setIgnore,SetIgnore)
(setUpdate,SetUpdate)
(setUrl,SetUrl)
(sync,Sync)
(update,Update)
(updateStrategy,UpdateStrategy)
(url,Url)
(wdId,WdId)
(errClear,GiterrClear)
(errLast,GiterrLast)
(errSetOom,GiterrSetOom)
(errSetString,GiterrSetStr)
(createFromBuffer,CreateFrombuffer)
(createFromDisk,CreateFromdisk)
(createFromWorkdir,CreateFromworkdir)
(filteredContent,FilteredContent)
(rawcontent,Rawcontent)
(rawsize,Rawsize)
(fromFetchhead,FromFetchhead)
(fromRef,FromRef)
(fromRevspec,FromRevspec)
(lookupByPath,LookupBypath)
(shortId,ShortId)
(string2Type,String2type)
(type2String,Type2string)
(typeisloose,Typeisloose)
(apply,Apply)
(pop,Pop)
(save,Save)
(abort,Abort)
(finish,Finish)
(inmemoryIndex,InmemoryIndex)
(operationByIndex,OperationByindex)
(operationCurrent,OperationCurrent)
(operationEntrycount,OperationEntrycount)
(fromAnnotated,FromAnnotated)
(datalen,Datalen)
(inflatedlen,Inflatedlen)
(addFetch,AddFetch)
(addPush,AddPush)
(autotag,Autotag)
(connect,Connect)
(connected,Connected)
(createAnonymous,CreateAnonymous)
(createDetached,CreateDetached)
(createWithFetchspec,CreateWithFetchspec)
(defaultBranch,DefaultBranch)
(disconnect,Disconnect)
(download,Download)
(fetch,Fetch)
(getFetchRefspecs,GetFetchRefspecs)
(getPushRefspecs,GetPushRefspecs)
(getRefspec,GetRefspec)
(pruneRefs,PruneRefs)
(pushurl,Pushurl)
(refspecCount,RefspecCount)
(setAutotag,SetAutotag)
(setPushurl,SetPushurl)
(stats,Stats)
(stop,Stop)
(updateTips,UpdateTips)
(upload,Upload)
(referenceList,ReferenceList)
(srcRefname,SrcRefname)
(dstRefname,DstRefname)
(cherrypick,Cherrypick)
(features,Features)
(opts,Opts)
(shutdown,Shutdown)
(errno,baton)
(storedMutexesCount,diagnostics)
(DISABLED,LockMaster)
(ENABLED_FOR_ASYNC_ONLY,LockMaster)
(ENABLED,LockMaster)
