(destroy,destroy)
(swap,_swap)
(setSwap,_set_swap)
(affinity,_affinity)
(setAffinity,_set_affinity)
(identity,_identity)
(setIdentity,_set_identity)
(rate,_rate)
(setRate,_set_rate)
(recoveryIvl,_recovery_ivl)
(setRecoveryIvl,_set_recovery_ivl)
(recoveryIvlMsec,_recovery_ivl_msec)
(setRecoveryIvlMsec,_set_recovery_ivl_msec)
(mcastLoop,_mcast_loop)
(setMcastLoop,_set_mcast_loop)
(rcvtimeo,_rcvtimeo)
(setRcvtimeo,_set_rcvtimeo)
(sndtimeo,_sndtimeo)
(setSndtimeo,_set_sndtimeo)
(sndbuf,_sndbuf)
(setSndbuf,_set_sndbuf)
(rcvbuf,_rcvbuf)
(setRcvbuf,_set_rcvbuf)
(linger,_linger)
(setLinger,_set_linger)
(reconnectIvl,_reconnect_ivl)
(setReconnectIvl,_set_reconnect_ivl)
(reconnectIvlMax,_reconnect_ivl_max)
(setReconnectIvlMax,_set_reconnect_ivl_max)
(backlog,_backlog)
(setBacklog,_set_backlog)
(setSubscribe,_set_subscribe)
(setUnsubscribe,_set_unsubscribe)
(type,_type)
(rcvmore,_rcvmore)
(events,_events)
(recvx,_recvx)
(recvCompress,_recv_compress)
(sendf,_sendf)
(sendfm,_sendfm)
(sendx,_sendx)
(sendCompress,_send_compress)
(sendmCompress,_sendm_compress)
(str,_str)
(free,_free)
(sockname,_sockname)
(createPipe,_create_pipe)
(handlerReset,_handler_reset)
(catchInterrupts,_catch_interrupts)
(isInterrupted,_is_interrupted)
(setInterrupted,_set_interrupted)
(fileExists,_file_exists)
(fileModified,_file_modified)
(fileMode,_file_mode)
(fileDelete,_file_delete)
(fileStable,_file_stable)
(dirCreate,_dir_create)
(dirDelete,_dir_delete)
(dirChange,_dir_change)
(fileModePrivate,_file_mode_private)
(fileModeDefault,_file_mode_default)
(version,_version)
(sprintfHint,_sprintf_hint)
(sprintf,_sprintf)
(socketError,_socket_error)
(hostname,_hostname)
(daemonize,_daemonize)
(runAs,_run_as)
(hasCurve,_has_curve)
(setIoThreads,_set_io_threads)
(setThreadSchedPolicy,_set_thread_sched_policy)
(setThreadPriority,_set_thread_priority)
(setThreadNamePrefix,_set_thread_name_prefix)
(threadNamePrefix,_thread_name_prefix)
(threadAffinityCpuAdd,_thread_affinity_cpu_add)
(threadAffinityCpuRemove,_thread_affinity_cpu_remove)
(setMaxSockets,_set_max_sockets)
(socketLimit,_socket_limit)
(setMaxMsgsz,_set_max_msgsz)
(maxMsgsz,_max_msgsz)
(setZeroCopyRecv,_set_zero_copy_recv)
(zeroCopyRecv,_zero_copy_recv)
(setFileStableAgeMsec,_set_file_stable_age_msec)
(fileStableAgeMsec,_file_stable_age_msec)
(setPipehwm,_set_pipehwm)
(pipehwm,_pipehwm)
(setInterface,_set_interface)
(interface,_interface)
(setIpv6Address,_set_ipv6_address)
(ipv6Address,_ipv6_address)
(setIpv6McastAddress,_set_ipv6_mcast_address)
(ipv6McastAddress,_ipv6_mcast_address)
(setAutoUseFd,_set_auto_use_fd)
(autoUseFd,_auto_use_fd)
(zprintf,_zprintf)
(zprintfError,_zprintf_error)
(zplprintf,_zplprintf)
(zplprintfError,_zplprintf_error)
(setLogident,_set_logident)
(setLogsender,_set_logsender)
(setLogsystem,_set_logsystem)
(error,_error)
(warning,_warning)
(notice,_notice)
(info,_info)
(debug,_debug)
(cancel,_cancel)
(setInterval,_set_interval)
(timeout,_timeout)
(execute,_execute)
(removeRoute,_remove_route)
(matches,_matches)
(hitParameterCount,_hit_parameter_count)
(hitParameters,_hit_parameters)
(hitAsteriskMatch,_hit_asterisk_match)
(setStr,_set_str)
(strCanonical,_str_canonical)
(export,_export)
(neq,_neq)
(port,_port)
(setPort,_set_port)
(backendAddress,_backend_address)
(setBackendAddress,_set_backend_address)
(method,_method)
(setMethod,_set_method)
(url,_url)
(setUrl,_set_url)
(contentType,_content_type)
(setContentType,_set_content_type)
(contentLength,_content_length)
(headers,_headers)
(content,_content)
(getContent,_get_content)
(setContent,_set_content)
(setContentConst,_set_content_const)
(resetContent,_reset_content)
(match,_match)
(statusCode,_status_code)
(setStatusCode,_set_status_code)
(network,LinqNetwork)
(network,LinqNetwork)
