(SDL_GL_ExtensionSupported,_export_SDL_GL_ExtensionSupported)
(SDL_GL_GetAttribute,_export_SDL_GL_GetAttribute)
(SDL_GL_CreateContext,_export_SDL_GL_CreateContext)
(SDL_GL_MakeCurrent,_export_SDL_GL_MakeCurrent)
(SDL_GL_GetCurrentWindow,_export_SDL_GL_GetCurrentWindow)
(SDL_GL_GetCurrentContext,_export_SDL_GL_GetCurrentContext)
(SDL_GL_GetDrawableSize,_export_SDL_GL_GetDrawableSize)
(SDL_GL_GetSwapInterval,_export_SDL_GL_GetSwapInterval)
(SDL_GL_SwapWindow,_export_SDL_GL_SwapWindow)
(SDL_GL_DeleteContext,_export_SDL_GL_DeleteContext)
(SDL_EXT_SurfaceToImageDataAsync,_export_SDL_EXT_SurfaceToImageDataAsync)
(SDL_EXT_SurfaceToImageData,_export_SDL_EXT_SurfaceToImageData)
(SDL_EXT_ImageDataToSurface,_export_SDL_EXT_ImageDataToSurface)
