(glucoseMeasurementContext,GlucoseMeasurementContextGetter)
(heartRateControlPoint,HeartRateControlPointGetter)
(heartRateMeasurement,HeartRateMeasurementGetter)
(intermediateCuffPressure,IntermediateCuffPressureGetter)
(intermediateTemperature,IntermediateTemperatureGetter)
(measurementInterval,MeasurementIntervalGetter)
(recordAccessControlPoint,RecordAccessControlPointGetter)
(rscFeature,RscFeatureGetter)
(rscMeasurement,RscMeasurementGetter)
(sCControlPoint,SCControlPointGetter)
(sensorLocation,SensorLocationGetter)
(temperatureMeasurement,TemperatureMeasurementGetter)
(temperatureType,TemperatureTypeGetter)
(lnFeature,LnFeatureGetter)
(alertCategoryId,AlertCategoryIdGetter)
(alertCategoryIdBitMask,AlertCategoryIdBitMaskGetter)
(alertLevel,AlertLevelGetter)
(alertNotificationControlPoint,AlertNotificationControlPointGetter)
(alertStatus,AlertStatusGetter)
(bootKeyboardInputReport,BootKeyboardInputReportGetter)
(bootKeyboardOutputReport,BootKeyboardOutputReportGetter)
(bootMouseInputReport,BootMouseInputReportGetter)
(cyclingPowerControlPoint,CyclingPowerControlPointGetter)
(cyclingPowerFeature,CyclingPowerFeatureGetter)
(cyclingPowerMeasurement,CyclingPowerMeasurementGetter)
(cyclingPowerVector,CyclingPowerVectorGetter)
(dateTime,DateTimeGetter)
(dayDateTime,DayDateTimeGetter)
(dayOfWeek,DayOfWeekGetter)
(dstOffset,DstOffsetGetter)
(exactTime256,ExactTime256Getter)
(firmwareRevisionString,FirmwareRevisionStringGetter)
(gapAppearance,GapAppearanceGetter)
(gapDeviceName,GapDeviceNameGetter)
(gapPeripheralPreferredConnectionParameters,GapPeripheralPreferredConnectionParametersGetter)
(gapPeripheralPrivacyFlag,GapPeripheralPrivacyFlagGetter)
(gapReconnectionAddress,GapReconnectionAddressGetter)
(gattServiceChanged,GattServiceChangedGetter)
(hardwareRevisionString,HardwareRevisionStringGetter)
(hidControlPoint,HidControlPointGetter)
(hidInformation,HidInformationGetter)
(ieee1107320601RegulatoryCertificationDataList,Ieee1107320601RegulatoryCertificationDataListGetter)
(lnControlPoint,LnControlPointGetter)
(localTimeInformation,LocalTimeInformationGetter)
(locationAndSpeed,LocationAndSpeedGetter)
(manufacturerNameString,ManufacturerNameStringGetter)
(modelNumberString,ModelNumberStringGetter)
(navigation,NavigationGetter)
(newAlert,NewAlertGetter)
(pnpId,PnpIdGetter)
(positionQuality,PositionQualityGetter)
(protocolMode,ProtocolModeGetter)
(referenceTimeInformation,ReferenceTimeInformationGetter)
(report,ReportGetter)
(reportMap,ReportMapGetter)
(ringerControlPoint,RingerControlPointGetter)
(ringerSetting,RingerSettingGetter)
(scanIntervalWindow,ScanIntervalWindowGetter)
(scanRefresh,ScanRefreshGetter)
(serialNumberString,SerialNumberStringGetter)
(softwareRevisionString,SoftwareRevisionStringGetter)
(supportUnreadAlertCategory,SupportUnreadAlertCategoryGetter)
(supportedNewAlertCategory,SupportedNewAlertCategoryGetter)
(systemId,SystemIdGetter)
(timeAccuracy,TimeAccuracyGetter)
(timeSource,TimeSourceGetter)
(timeUpdateControlPoint,TimeUpdateControlPointGetter)
(timeUpdateState,TimeUpdateStateGetter)
(timeWithDst,TimeWithDstGetter)
(timeZone,TimeZoneGetter)
(txPowerLevel,TxPowerLevelGetter)
(unreadAlertStatus,UnreadAlertStatusGetter)
(characteristicAggregateFormat,CharacteristicAggregateFormatGetter)
(characteristicExtendedProperties,CharacteristicExtendedPropertiesGetter)
(characteristicPresentationFormat,CharacteristicPresentationFormatGetter)
(characteristicUserDescription,CharacteristicUserDescriptionGetter)
(clientCharacteristicConfiguration,ClientCharacteristicConfigurationGetter)
(serverCharacteristicConfiguration,ServerCharacteristicConfigurationGetter)
(writeValue,WriteValue)
(commitAsync,CommitAsync)
(commitWithResultAsync,CommitWithResultAsync)
(serviceProvider,ServiceProviderGetter)
(createCharacteristicAsync,CreateCharacteristicAsync)
(startAdvertising,StartAdvertising)
(stopAdvertising,StopAdvertising)
(advertisementStatus,AdvertisementStatusGetter)
(characteristic,CharacteristicGetter)
(createDescriptorAsync,CreateDescriptorAsync)
(notifyValueAsync,NotifyValueAsync)
(readProtectionLevel,ReadProtectionLevelGetter)
(staticValue,StaticValueGetter)
(subscribedClients,SubscribedClientsGetter)
(writeProtectionLevel,WriteProtectionLevelGetter)
(descriptor,DescriptorGetter)
(maxNotificationSize,MaxNotificationSizeGetter)
(getDeferral,GetDeferral)
