(dateGte,dateGte)
(dateEq,dateEq)
(dateNeq,dateNeq)
(containsRecipient,containsRecipient)
(containsSender,containsSender)
(currencyEq,currencyEq)
(operationUidEq,operationUidEq)
(operationUidNeq,operationUidNeq)
(trustEq,trustEq)
(trustNeq,trustNeq)
(feesEq,feesEq)
(feesNeq,feesNeq)
(feesGte,feesGte)
(feesGt,feesGt)
(feesLte,feesLte)
(feesLt,feesLt)
(amountEq,amountEq)
(amountNeq,amountNeq)
(amountGte,amountGte)
(amountGt,amountGt)
(amountLte,amountLte)
(amountLt,amountLt)
(blockHeightEq,blockHeightEq)
(blockHeightNeq,blockHeightNeq)
(blockHeightGte,blockHeightGte)
(blockHeightGt,blockHeightGt)
(blockHeightLte,blockHeightLte)
(blockHeightLt,blockHeightLt)
(blockHeightIsNull,blockHeightIsNull)
(operationTypeEq,operationTypeEq)
(operationTypeNeq,operationTypeNeq)
(op_and,op_and)
(op_or,op_or)
(op_and_not,op_and_not)
(op_or_not,op_or_not)
(getName,getName)
(getWalletCount,getWalletCount)
(getWallets,getWallets)
(getWallet,getWallet)
(updateWalletConfig,updateWalletConfig)
(createWallet,createWallet)
(getCurrencies,getCurrencies)
(freshResetAll,freshResetAll)
(changePassword,changePassword)
(fromPublicKey,fromPublicKey)
(toPublicKey,toPublicKey)
(get,get)
(commit,commit)
(setEncryption,setEncryption)
(unsetEncryption,unsetEncryption)
(resetEncryption,resetEncryption)
(getEncryptionSalt,getEncryptionSalt)
(clear,clear)
(getDelegatedAmount,getDelegatedAmount)
(getMessageType,getMessageType)
(getRawMessageType,getRawMessageType)
(getSuccess,getSuccess)
(getLog,getLog)
(wrapMsgSend,wrapMsgSend)
(unwrapMsgSend,unwrapMsgSend)
(wrapMsgDelegate,wrapMsgDelegate)
(unwrapMsgDelegate,unwrapMsgDelegate)
(wrapMsgUndelegate,wrapMsgUndelegate)
(unwrapMsgUndelegate,unwrapMsgUndelegate)
(wrapMsgBeginRedelegate,wrapMsgBeginRedelegate)
(unwrapMsgBeginRedelegate,unwrapMsgBeginRedelegate)
(wrapMsgSubmitProposal,wrapMsgSubmitProposal)
(unwrapMsgSubmitProposal,unwrapMsgSubmitProposal)
(wrapMsgVote,wrapMsgVote)
(unwrapMsgVote,unwrapMsgVote)
(wrapMsgDeposit,wrapMsgDeposit)
(unwrapMsgDeposit,unwrapMsgDeposit)
(wrapMsgWithdrawDelegationReward,wrapMsgWithdrawDelegationReward)
(unwrapMsgWithdrawDelegationReward,unwrapMsgWithdrawDelegationReward)
(wrapMsgMultiSend,wrapMsgMultiSend)
(unwrapMsgMultiSend,unwrapMsgMultiSend)
(wrapMsgCreateValidator,wrapMsgCreateValidator)
(unwrapMsgCreateValidator,unwrapMsgCreateValidator)
(wrapMsgEditValidator,wrapMsgEditValidator)
(unwrapMsgEditValidator,unwrapMsgEditValidator)
(wrapMsgSetWithdrawAddress,wrapMsgSetWithdrawAddress)
(unwrapMsgSetWithdrawAddress,unwrapMsgSetWithdrawAddress)
(wrapMsgWithdrawDelegatorReward,wrapMsgWithdrawDelegatorReward)
(unwrapMsgWithdrawDelegatorReward,unwrapMsgWithdrawDelegatorReward)
(wrapMsgWithdrawValidatorCommission,wrapMsgWithdrawValidatorCommission)
(unwrapMsgWithdrawValidatorCommission,unwrapMsgWithdrawValidatorCommission)
(wrapMsgUnjail,wrapMsgUnjail)
(unwrapMsgUnjail,unwrapMsgUnjail)
(getRewardAmount,getRewardAmount)
(getGasUsed,getGasUsed)
(setVSignature,setVSignature)
(setHttpClient,setHttpClient)
(setWebsocketClient,setWebsocketClient)
(setPathResolver,setPathResolver)
(setLogPrinter,setLogPrinter)
(setThreadDispatcher,setThreadDispatcher)
(setName,setName)
(setPassword,setPassword)
(setRandomNumberGenerator,setRandomNumberGenerator)
(setDatabaseBackend,setDatabaseBackend)
(setConfiguration,setConfiguration)
(setExternalPreferencesBackend,setExternalPreferencesBackend)
(setInternalPreferencesBackend,setInternalPreferencesBackend)
(getUid,getUid)
(getAccountIndex,getAccountIndex)
(getSenders,getSenders)
(getRecipients,getRecipients)
(getSelfRecipients,getSelfRecipients)
(getAmount,getAmount)
(getTrust,getTrust)
(asBitcoinLikeOperation,asBitcoinLikeOperation)
(asCosmosLikeOperation,asCosmosLikeOperation)
(asEthereumLikeOperation,asEthereumLikeOperation)
(asRippleLikeOperation,asRippleLikeOperation)
(asTezosLikeOperation,asTezosLikeOperation)
(asStellarLikeOperation,asStellarLikeOperation)
(asAlgorandOperation,asAlgorandOperation)
(isInstanceOfBitcoinLikeOperation,isInstanceOfBitcoinLikeOperation)
(isInstanceOfCosmosLikeOperation,isInstanceOfCosmosLikeOperation)
(isInstanceOfEthereumLikeOperation,isInstanceOfEthereumLikeOperation)
(isInstanceOfRippleLikeOperation,isInstanceOfRippleLikeOperation)
(isInstanceOfTezosLikeOperation,isInstanceOfTezosLikeOperation)
(isInstanceOfStellarLikeOperation,isInstanceOfStellarLikeOperation)
(isComplete,isComplete)
(isOperator,isOperator)
(isPushedData,isPushedData)
(getOperator,getOperator)
(getPushedData,getPushedData)
(next,next)
(hasNext,hasNext)
(getConnectionPoolSize,getConnectionPoolSize)
(enableQueryLogging,enableQueryLogging)
(isLoggingEnabled,isLoggingEnabled)
(getSqlite3Backend,getSqlite3Backend)
(getPostgreSQLBackend,getPostgreSQLBackend)
(createBackendFromEngine,createBackendFromEngine)
(getGas,getGas)
(getGasWanted,getGasWanted)
(getMessages,getMessages)
(serializeForSignature,serializeForSignature)
(serializeForBroadcast,serializeForBroadcast)
(getAlgorandOperationType,getAlgorandOperationType)
(getRewards,getRewards)
(getAssetAmount,getAssetAmount)
(getAccount,getAccount)
(getAccountCount,getAccountCount)
(getAccounts,getAccounts)
(getNextAccountIndex,getNextAccountIndex)
(getAccountPreferences,getAccountPreferences)
(asBitcoinLikeWallet,asBitcoinLikeWallet)
(asCosmosLikeWallet,asCosmosLikeWallet)
(isInstanceOfBitcoinLikeWallet,isInstanceOfBitcoinLikeWallet)
(isInstanceOfAlgorandLikeWallet,isInstanceOfAlgorandLikeWallet)
(isInstanceOfCosmosLikeWallet,isInstanceOfCosmosLikeWallet)
(isInstanceOfEthereumLikeWallet,isInstanceOfEthereumLikeWallet)
(isInstanceOfRippleLikeWallet,isInstanceOfRippleLikeWallet)
(isInstanceOfStellarLikeWallet,isInstanceOfStellarLikeWallet)
(asStellarLikeWallet,asStellarLikeWallet)
(getAccountCreationInfo,getAccountCreationInfo)
(getExtendedKeyAccountCreationInfo,getExtendedKeyAccountCreationInfo)
(getNextAccountCreationInfo,getNextAccountCreationInfo)
(getNextExtendedKeyAccountCreationInfo,getNextExtendedKeyAccountCreationInfo)
(newAccountWithInfo,newAccountWithInfo)
(newAccountWithExtendedKeyInfo,newAccountWithExtendedKeyInfo)
(getConfiguration,getConfiguration)
(getStringVersion,getStringVersion)
(getIntVersion,getIntVersion)
(getStorage,getStorage)
(getOriginatedAccounts,getOriginatedAccounts)
(getBaseReserve,getBaseReserve)
(getFeeStats,getFeeStats)
(getSigners,getSigners)
(d,d)
(i,i)
(e,e)
(w,w)
(c,c)
(getCreationHeight,getCreationHeight)
(getCompletionTime,getCompletionTime)
(getInitialBalance,getInitialBalance)
(getTrustWeight,getTrustWeight)
(getTrustLevel,getTrustLevel)
(getConflictingOperationUids,getConflictingOperationUids)
(getOrigin,getOrigin)
(run,run)
(isAddressActivated,isAddressActivated)
(setMemo,setMemo)
(setAccountNumber,setAccountNumber)
(addMessage,addMessage)
(setGas,setGas)
(setGasAdjustment,setGasAdjustment)
(post,post)
(postSticky,postSticky)
(relay,relay)
(setGasPrice,setGasPrice)
(setGasLimit,setGasLimit)
(setInputData,setInputData)
(getMethod,getMethod)
(getHeaders,getHeaders)
(getBody,getBody)
(getUrl,getUrl)
(addInput,addInput)
(addOutput,addOutput)
(addChangePath,addChangePath)
(excludeUtxo,excludeUtxo)
(setNumberOfChangeAddresses,setNumberOfChangeAddresses)
(setMaxAmountOnChange,setMaxAmountOnChange)
(setMinAmountOnChange,setMinAmountOnChange)
(pickInputs,pickInputs)
(setFeesPerByte,setFeesPerByte)
(setType,setType)
(setStorageLimit,setStorageLimit)
(subscribe,subscribe)
(unsubscribe,unsubscribe)
(putStringArray,putStringArray)
(getPublicKeys,getPublicKeys)
(getPreviousTxHash,getPreviousTxHash)
(isCoinbase,isCoinbase)
(getCoinbase,getCoinbase)
(getPreviousOutputIndex,getPreviousOutputIndex)
(getPreviousOuput,getPreviousOuput)
(getScriptSig,getScriptSig)
(parseScriptSig,parseScriptSig)
(setScriptSig,setScriptSig)
(pushToScriptSig,pushToScriptSig)
(getPreviousTransaction,getPreviousTransaction)
(setP2PKHSigScript,setP2PKHSigScript)
(isP2SH,isP2SH)
(isP2PKH,isP2PKH)
(isP2WSH,isP2WSH)
(isP2WPKH,isP2WPKH)
(add,add)
(subtract,subtract)
(multiply,multiply)
(divide,divide)
(divideAndRemainder,divideAndRemainder)
(pow,pow)
(toDecimalString,toDecimalString)
(intValue,intValue)
(compare,compare)
(fromDecimalString,fromDecimalString)
(fromIntegerString,fromIntegerString)
