(isPrunable,IsPrunable)
(lock,Lock)
(openFromRepository,OpenFromRepository)
(prune,Prune)
(unlock,Unlock)
(validate,Validate)
(datalen,Datalen)
(inflatedlen,Inflatedlen)
(containsNul,ContainsNul)
(dispose,Dispose)
(grow,Grow)
(set,Set)
(ptr,Ptr)
(asize,Asize)
(similarity,Similarity)
(nfiles,Nfiles)
(ext,Ext)
(single,Single)
(append,Append)
(entryByIndex,EntryByindex)
(hashMd5,HashMd5)
(hashSha1,HashSha1)
(hashSha256,HashSha256)
(exec,Exec)
(srcRefname,SrcRefname)
(dstRefname,DstRefname)
(offset,Offset)
(sign,Sign)
(seconds,Seconds)
(nanoseconds,Nanoseconds)
(cpy,Cpy)
(equal,Equal)
(fromString,Fromstrp)
(isZero,IsZero)
(iszero,Iszero)
(ncmp,Ncmp)
(strcmp,Strcmp)
(streq,Streq)
(tostrS,TostrS)
(storedMutexesCount,diagnostics)
(setThreadSafetyStatus,LockMasterSetStatus)
(DISABLED,LockMaster)
(ENABLED_FOR_ASYNC_ONLY,LockMaster)
(ENABLED,LockMaster)
(getByPath,GetByPath)
(repo,Repo)
(linesInHunk,LinesInHunk)
(finalCommitId,FinalCommitId)
(finalStartLineNumber,FinalStartLineNumber)
(finalSignature,FinalSignature)
(origCommitId,OrigCommitId)
(origPath,OrigPath)
(origStartLineNumber,OrigStartLineNumber)
(origSignature,OrigSignature)
(toBuffer,ToBuffer)
(last,Last)
(setOom,SetOom)
(setString,SetStr)
(klass,Klass)
(analysis,Analysis)
(analysisForRef,AnalysisForRef)
(base,Base)
(bases,Bases)
(commits,Commits)
(trees,Trees)
(deleteEntry,DeleteEntry)
(deleteMultivar,DeleteMultivar)
(findGlobal,FindGlobal)
(findProgramdata,FindProgramdata)
(findSystem,FindSystem)
(findXdg,FindXdg)
(getBool,GetBool)
(getEntry,GetEntry)
(getInt32,GetInt32)
(getInt64,GetInt64)
(getPath,GetPath)
(getStringBuf,GetStringBuf)
(openDefault,OpenDefault)
(openOndisk,OpenOndisk)
(setBool,SetBool)
(setInt32,SetInt32)
(setInt64,SetInt64)
(setMultivar,SetMultivar)
(setString,SetString)
(snapshot,Snapshot)
